0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	 
0 |0	12	0	11	0	3	16	0	7	0	0	0	4	10	0	10	19	10	0	15	3	1	0	10	0	1	3	0	6	17	0	0	13	11	6	16	9	9	19	0	0	8	6	8	0	15	17	14	14	2	0	0	7	0	17	4	0	0	2	0	0	0	0	0	4	0	19	0	14	5	0	0	14	0	0	0	18	19	0	4	19	0	0	5	1	14	7	0	6	5	0	5	5	15	0	13	16	3	0	0	
1 |12	0	2	0	0	5	3	12	0	7	0	5	0	2	19	0	6	19	0	5	12	5	17	2	6	0	11	3	0	7	0	6	0	0	0	0	7	19	0	17	4	2	19	9	3	0	8	0	4	16	0	5	15	1	7	8	15	12	18	1	4	8	8	2	0	0	0	10	19	0	0	0	0	12	0	10	0	13	0	0	17	19	6	16	0	0	9	6	7	0	15	0	0	2	8	9	10	6	0	13	
2 |0	2	0	0	7	3	7	0	0	11	0	10	11	12	7	11	19	15	16	9	1	11	0	14	8	11	12	0	0	9	7	2	0	6	0	11	12	16	5	11	0	4	0	0	0	19	9	0	5	7	7	0	0	0	0	7	0	9	0	0	3	2	17	0	0	0	0	0	0	10	15	1	7	0	9	15	18	5	0	0	0	0	0	17	15	0	2	17	16	7	4	17	9	0	11	12	0	11	19	14	
3 |11	0	0	0	13	1	7	0	0	0	0	0	0	13	0	6	14	0	16	0	13	2	0	10	12	8	3	3	0	2	2	17	12	4	0	15	18	8	3	0	17	9	0	9	11	4	0	11	0	7	13	13	18	15	14	13	0	13	9	0	6	0	0	0	0	13	19	0	4	11	7	7	0	0	16	0	5	2	18	3	18	0	12	11	5	0	0	7	9	0	7	2	15	0	18	0	0	0	0	19	
4 |0	0	7	13	0	7	15	17	12	2	4	9	0	9	19	8	4	1	13	9	16	0	0	13	18	0	0	0	10	5	7	0	14	4	0	0	0	0	0	4	11	10	4	13	13	19	5	12	18	0	18	0	0	6	13	17	16	11	0	19	16	0	19	17	3	0	2	12	2	18	13	0	12	0	2	17	0	15	2	0	18	0	2	6	0	11	0	10	0	3	5	0	9	15	14	16	4	0	0	15	
5 |3	5	3	1	7	0	3	14	2	14	11	0	0	5	14	0	0	0	13	4	4	4	0	11	11	0	11	17	2	4	1	8	14	15	0	11	0	8	0	5	7	0	9	13	0	10	0	15	11	0	7	0	5	0	7	0	0	6	0	9	14	0	0	18	0	0	7	0	12	17	0	13	3	0	9	15	3	1	4	0	19	0	8	16	9	0	12	18	5	7	9	18	0	17	17	0	3	13	0	7	
6 |16	3	7	7	15	3	0	4	9	4	10	6	10	3	0	0	9	13	19	17	9	14	18	0	0	0	0	0	4	13	3	1	0	12	8	0	17	12	19	8	0	0	5	19	3	6	15	7	0	0	13	10	0	0	5	1	19	0	17	4	0	7	0	0	0	16	10	0	0	0	0	12	0	3	18	0	0	15	13	2	11	12	8	18	0	8	0	1	5	0	0	0	0	0	0	16	0	0	15	2	
7 |0	12	0	0	17	14	4	0	0	1	17	5	17	0	13	3	0	0	12	0	0	5	0	4	0	8	0	1	0	0	0	6	10	13	0	0	12	0	0	6	6	0	2	0	0	0	0	0	18	4	17	0	4	10	12	3	7	0	0	1	18	17	1	3	11	0	0	0	1	0	17	0	0	0	0	0	0	13	1	13	9	18	0	4	14	16	2	0	0	5	0	18	8	19	0	5	0	1	0	3	
8 |7	0	0	0	12	2	9	0	0	19	5	6	7	16	5	13	0	8	5	12	7	6	15	5	0	0	0	7	0	6	0	8	18	0	19	19	0	12	0	0	0	15	0	2	4	8	0	12	15	0	0	4	1	1	0	16	19	18	0	16	8	6	4	5	16	0	0	15	13	8	14	14	2	0	0	0	7	0	15	13	19	19	0	2	3	0	16	6	5	0	0	2	0	0	10	13	0	14	15	13	
9 |0	7	11	0	2	14	4	1	19	0	0	0	0	0	1	18	6	4	2	0	7	0	16	4	17	12	7	19	0	0	0	1	1	0	10	0	7	0	0	7	1	16	17	11	9	17	13	0	0	0	19	2	7	14	0	7	0	0	4	0	2	8	0	16	15	13	10	19	0	19	12	16	11	0	9	0	12	15	15	0	4	4	0	0	0	0	17	2	2	17	15	18	5	14	1	0	7	0	15	1	
